Client;Secteur1;Secteur2;SecteurParticulier;NbSalaries;CapaciteEmprunt;PrevisionnelAnnuel;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30
C275964;;1;;0;7622,45;[0];14,76;0;0;43,92;0;0;14,67;0;0;0;8,56;37,82;0;56,49;0;0;0;20,42;0;14,4;0;0;0;3,66;0;0;0;11,39;0;0
C275969;;;;15;10000;[262500];217,61;0;32,34;0;0;0;0;7722,72;5,64;0;481,23;0;0;162,69;0;0;0;32,6;0;75,82;0;0;0;22,19;0;0;0;17,78;0;0
C275970;;;;30;20000;[525000];165,93;0;0;0;0;0;0;0;0;0;0;0;503,93;0;0;0;0;438,97;0;216,86;0;0;0;0;0;0;0;0;0;0
C275975;;;;3;10000;[52500];0;8,03;402,14;0;0;0;184,77;0;0;0;0;0;0;0;0;0;0;0;0;100,5;0;0;0;0;0;0;0;0;0;0
C275976;1;;;3;5000;[127200];137,28;0;885,68;0;87,95;4575,64;408,87;0;0;0;0;0;2447,81;0;0;549,13;0;2,43;0;342,25;0;0;62,84;192,38;0;0;0;22,25;0;0
C275978;;1;;0;7622,45;[0];0;0;0;0;0;0;182,95;0;0;0;0;0;0;0;0;0;0;127,73;0;0;0;0;0;193,64;0;0;0;0;0;0
C275981;;;;4;10000;[70000];13965,65;8275,31;352,48;3105,17;0;6013,69;814,78;742,04;300,89;0;336,51;1619,09;0;266,89;0;225,81;0;54,88;374,88;27005,91;-850,95;0;0;643,05;0;430,46;0;29,77;0;283,41
C275982;;;;4;20000;[70000];18238,28;27444,37;743,76;4306,85;1144,18;0;131,69;1725,3;479,14;0;5,56;4121,45;383,32;26155,26;0;0;0;35,14;372,19;30644,05;0;2941,46;0;0;0;426,15;0;35,33;0;204,96
C275991;;;;1;10000;[20200];1559,76;0;108,6;0;0;11425,9;503,48;10,48;258,26;0;493,5;0;6020,42;0;0;16,75;0;29,96;215,35;2101,05;0;0;0;301,11;0;104,92;0;4,88;0;100,44
C275994;;;;3;10000;[52500];1359,38;0;114,65;12,52;0;0;29,9;265,79;2,44;0;14,95;0;0;0;0;0;0;3,53;0;249,8;0;0;0;0;0;0;0;0;0;57,06
C275997;;;;0;0;[0];61,82;581,61;125,74;150,3;0;37,42;51,04;27,91;-31,72;0;0;1142,41;12,13;7132,22;0;0;0;0;0;244;3335,18;0;0;39,35;0;109,8;0;0;0;0
C276005;;;;3;10000;[52500];169,13;233,91;0;0;0;16,1;0;2789,33;73,37;0;2010,94;0;96,89;14,4;0;0;0;0;0;28,06;0;0;0;0;0;0;0;0;0;1479,66
C276007;;;;4;20000;[70000];37405,23;919,84;3411,4;1503,5;616,49;14207,69;3660,37;1767,6;4053,21;0;1767,89;1810,93;1112,23;5067,61;0;92,02;0;299,79;2646,66;12090,93;89,46;0;1494,5;2006,28;0;1047,98;0;137,98;6;190,56
C276011;;;;4;22867,35;[84800];0;10712,97;0;0;0;0;0;0;60,99;0;0;0;0;18731,61;0;0;0;0;0;7,98;0;0;0;0;0;0;0;0;0;0
C276013;;;;3;15000;[52500];8714,61;431,22;167,02;1578,52;0;159,14;517,15;115,88;-41,23;0;1470,86;1123,88;2041,89;1258,41;0;851,49;0;88,83;15,56;34384,99;109,8;3039,39;0;527,37;0;394,3;0;67,87;0;1679,32
C276019;;;;0;5000;[0];0;0;0;0;0;68,55;3,27;0;0;0;0;0;0;0;0;10,39;0;0;0;47,67;0;0;0;0;0;0;0;0;0;145,88
C276028;;;;4;5000;[80000];92,56;266,01;11,51;94,66;0;0;237,45;0;0;0;37,77;1709,46;619,65;1176,19;0;983,28;0;265,92;0;612,15;708,14;0;61,24;352,32;361,12;0;0;133,27;0;724,69
C276031;;;1;0;1524,49;[0];23,17;0;0;114,71;0;21,38;17,87;0;0;0;0;276,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C276036;;;;0;10000;[0];1648,46;12,26;284,05;82,96;0;0;50,96;0;137,25;0;0;8,78;0;0;0;0;0;64,43;0;128,47;0;0;0;0;0;0;0;0;0;0
C276038;;1;;2;10000;[44800];18,3;2,41;1421,35;67,23;2919,58;0;44,51;15,01;0;0;82,69;1535,57;0;1325,52;0;103,63;0;28,58;0;120,6;1846,49;1199,1;0;5,12;0;0;0;0;0;50,23
C276039;;;;4;20000;[70000];31186,41;0;587,64;429,25;0;185,99;1095,35;1032,11;4189,63;0;248,5;286,81;34,11;0;0;1274,97;0;45,82;2549,17;16324,06;0;288,21;0;1493,73;1268,19;252,05;0;32,94;0;77,51
C276044;;;;1;3048,98;[17500];0;0;335,05;0;4420,47;1471,94;54,96;0;0;0;101,6;219,88;1054,96;251,21;0;672,89;0;72,22;0;552,61;106,88;6201,8;0;458,79;0;0;0;24,99;940,14;101,75
C276045;;;;0;3048,98;[0];12;0;165,61;0;0;26,97;103,48;0;0;0;0;20,13;0;0;0;0;0;22,62;0;0;0;0;0;202,35;0;0;0;0;0;118,71
C276435;;1;;9;13000;[201600];0;0;0;0;0;0;49,23;0;0;0;0;0;0;0;0;0;0;0;0;59,83;0;0;0;0;0;0;0;0;0;0
C276440;;;;1;10000;[20000];0;0;394,43;0;0;0;0;0;43,92;0;0;0;0;0;0;1977,64;0;0;0;0;0;0;0;0;0;43,92;0;0;0;0
C276444;;1;;8;8000;[179200];86,04;166,16;278,73;0;0;0;119,97;0;0;0;0;1216,77;43,83;0;0;65,97;0;0;26,27;39,44;0;0;0;0;0;0;0;0;0;0
C276457;;;;14;30000;[245000];21712,27;15528,79;2318,95;1392,94;371,69;390,4;80,45;6451,14;595,78;0;2719,01;794,84;0;12122,3;0;0;0;54,75;645,76;24335,3;0;0;0;105,46;50,22;329,74;0;0;0;1071,33
C276461;;;;3;40000;[85500];69944,94;790,54;0;23,37;0;1311,77;3053,32;0;1731,48;0;0;20,75;0;32,59;0;0;0;1250,54;0;149880,65;0;0;0;338,09;38,02;2686,15;0;55,62;0;0
C276462;;;;2;8000;[35000];204,5;0;0;0;0;57,05;0;21,71;0;0;0;45,85;0;0;0;0;0;0;0;229,97;0;0;0;0;0;0;0;0;0;0
C276469;;1;;1;10000;[22400];24,72;1161,2;1677,02;4885,98;34364,58;352,28;90,48;0;0;0;0;8228,77;0;1120,55;0;1774,1;0;18,12;68,52;0;1415,1;45088,76;1065,93;82,47;0;0;0;0;0;0
C276471;;;;5;10000;[87500];138,16;0;145,37;130,78;0;3367,92;0;0;14,88;0;0;0;598,37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C276481;;;;8;13000;[140000];11259,23;25,83;0;70,39;0;504,14;2,74;1152,89;-571,71;0;6,78;0;0;0;0;0;0;28,3;592,82;16568,15;0;0;0;69,52;0;980,27;0;0;0;255,65
C276484;;;;1;277000;[17500];0;0;0;0;0;0;0;5,5;0;0;0;12,44;0;0;0;0;0;0;1391,26;448,98;0;0;0;30,24;0;0;0;0;0;0
C276494;;;;3;30000;[85500];135889,29;0;0;0;0;153,67;305,83;0;0;0;0;0;0;77,7;0;0;0;286,72;0;177037,65;0;0;0;417,31;503,62;0;0;0;0;0
C276496;;;;15;7000;[300000];43,08;0;0;0;0;354,82;20,66;14;0;0;0;0;173,35;0;0;11,13;0;0;0;46,47;0;0;0;0;0;0;0;0;0;0
C276520;;;;2;5000;[40000];520,45;10,44;416,65;18,15;0;127,13;101,25;96,94;0;0;143,64;0;6,06;7,38;0;367,55;0;39,38;0;259,91;0;0;0;22,66;0;0;0;58,27;5,32;0
C276523;;;;2;10000;[40400];153,76;0;16,86;274,5;0;19,36;0;0;-6,22;0;0;0;45,34;0;0;28,63;0;0;0;482,67;0;0;0;0;0;0;0;19,13;0;0
C276524;;1;;5;70000;[112000];102,02;1836,05;3365,8;20219,34;52835,39;25,7;1798,94;0;143,95;0;0;66970,35;672,6;603,22;0;6305,73;0;712,75;1038,57;924,85;5892,53;40271,32;4584,6;1407,95;0;333,79;0;3218,87;0;0
C276547;1;;;5;20000;[96000];0;0;19185,91;0;48,2;2292,1;679,98;0;356,7;0;0;0;2264,93;0;0;10995,84;0;139,74;0;0;3789,03;0;0;359,96;0;240,49;0;72,7;0;0
C276555;;;;2;15000;[35000];3316,62;96,65;1001,94;85,24;439,84;1878,61;722,31;66,82;-26,22;0;158,21;2539,97;65,48;2785,64;0;7,05;0;56,36;511,16;15621,93;1759;872,45;76,27;1678,73;427,54;187,44;0;199,45;37,75;385,59
C276563;;;;3;16000;[63600];387,43;26573,79;546,13;6972,71;59,63;720,34;27,44;5,45;73,17;0;0;9563,78;15,91;101086,88;0;66,45;0;58,28;0;1564,97;0;56,73;0;140,78;0;413,14;0;109,39;0;0
C276568;;1;;20;23000;[448000];0;0;6514,38;0;943,6;0;122,18;0;6,69;0;0;2387,6;0;810,52;0;0;0;0;0;0;291,47;146,4;0;97,05;0;0;0;0;0;0
C276609;;;;20;90000;[350000];201819,83;151356,88;3576,5;3649,94;491,92;176,7;754,06;432,65;1316,87;0;0;14589,5;0;160528,94;0;42,36;0;841,08;555,05;209078,09;6714,82;602,23;483,82;521,84;832,59;-656,97;0;56,89;0;756,89
C276611;;;;1;0;[17500];53,9;0;17737,31;3854,41;0;0;527,68;0;0;0;0;14995,36;0;0;0;3849,47;0;337,77;0;236,94;12539,88;0;2865,44;0;0;26,79;0;394,07;0;0
C276617;;;;8;12000;[140000];9311,23;7295,39;1686,53;428,28;0;0;232,12;0;119,36;0;0;0;854,79;0;0;0;0;0;6,15;15699,23;1703;1045,89;0;231,8;0;306,12;0;0;0;0
C276624;;;;10;30000;[175000];50815,63;19560,07;2740,55;1082;0;1689,99;0;2239,5;2091,73;0;590,14;371,04;0;5603,61;0;0;0;12,13;0;25430,77;3286,09;774,53;185,44;0;0;124,44;0;0;0;0
C276627;;;;1;10000;[17500];902,3;0;50,22;16724,12;1275,05;260,26;652,51;454,78;1775,86;0;0;7630,34;141,45;0;0;23,5;0;120,5;0;919,84;0;443,49;0;236,94;0;1018,02;9,1;547,9;21,41;0
C276663;;;;3;10000;[52500];15988,29;31154;1600,88;11118,51;752,95;283,26;1834,41;1698,29;1076,95;0;1935,16;4345,54;57,66;18411,95;0;0;0;98,31;0;19002,61;0;2770,02;0;1391,96;0;254,83;0;51,94;0;2,17
C276666;;;;6;19000;[105000];9347,3;423,96;699,42;1061,02;0;66,66;376,57;40,5;135,88;0;466,96;750,26;20,33;8621,02;0;50,26;0;20,19;26,13;9584,43;0;0;0;0;0;74,42;0;11,61;0;56,73
C276668;;;;4;15000;[80800];4316,73;0;46,32;0;0;20627,25;248,96;415,59;485,64;0;0;348,92;15218,46;0;0;46,8;0;93,74;1236,35;6941,31;419,46;0;0;396,93;91,38;210,76;0;15,76;0;11,26
C276671;;;;1;10000;[17500];631,68;238,64;44,77;232,8;0;128,05;272,84;14,49;-20,74;0;0;33,46;7,25;408,11;0;294,46;0;89,23;386,29;800,54;135,83;0;0;36,81;0;0;0;0;0;7,21
C276709;;;;1;10000;[17500];0;0;0;11364,67;1735,69;307,69;0;0;14,87;0;0;811,12;557,55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C276715;;1;;15;26000;[336000];0;0;5186,5;6025,34;5,51;0;92,44;0;0;0;0;1170,03;0;0;0;0;0;0;0;0;0;45,9;0;0;0;0;0;0;0;0
C276736;;;;1;10000;[10600];0;0;504,57;1842,17;245,2;0;57,89;0;35,99;0;0;0;0;0;0;0;0;21,34;0;0;0;0;0;0;0;0;0;8,81;0;0
C276744;;;;7;20000;[122500];22939,7;1820,28;852,42;508,71;0;305,55;1717,09;8836,84;221,84;0;10012,63;728,63;1942,53;1703,61;0;58,99;0;512,02;1786,35;13825,87;490,77;0;102,77;2812,44;89,56;311,44;9,81;80,46;0;1460,85
C276747;;;;5;5000;[87500];529,38;0;13,95;611,07;0;0;8,25;50,22;97,6;0;0;251,08;0;0;0;15,2;0;0;0;1009,84;0;0;0;71,89;0;195,2;0;10,69;0;45,14
C276750;1;;;8;19000;[153600];1374,47;0;38155,81;361,46;3528,75;14243,87;182,44;0;908,71;0;0;693,75;6866,05;0;0;31956,72;0;0;0;182,56;12534,73;0;2361,02;15,05;0;540,53;0;0;97,93;0
C276760;;1;;99;5000;[2.2176e+006];0;0;0;0;0;753,81;0;0;35,99;0;0;0;0;0;0;0;0;0;0;0;459,93;0;0;0;0;0;0;0;0;0
C276761;;;;19;46000;[332500];11101,35;16160,78;0;1373,27;0;0;0;849,5;-681,41;0;0;11606,41;0;101693,05;0;0;0;409,32;0;133878,05;3236,03;13545,11;0;114,83;0;2164,41;0;4,47;0;2109,32
C276768;;;;1;10000;[17500];7,26;0;22,99;0;0;426,19;0;0;0;0;0;2961,2;0;9496,25;0;0;0;0;700,28;217,55;0;0;0;12,52;56,63;86,01;0;66,84;0;0
C276774;;;;7;1000;[199500];8355,13;0;0;0;0;0;54,42;0;91,49;0;0;0;0;217,01;0;48,42;0;0;0;33292,04;0;0;0;0;0;305;0;0;0;0
C276780;;;;1;15000;[17500];17363,23;13040,3;0;866,76;1784,44;85,64;519,39;1221,85;967,57;0;1151,94;263,07;40,65;196,35;0;0;0;348,59;0;46055,48;0;1161,26;0;62,6;0;2337,58;0;7,56;0;398,43
C276786;;1;;9;10000;[201600];0;7744,73;36693,14;0;0;0;0;0;0;0;0;0;0;9589,08;0;32442,01;0;0;0;0;0;778,02;178,21;0;0;27,45;0;0;0;0
C276790;;1;;0;8000;[0];117,65;0;703,79;113,34;656,51;0;93,21;0;24,4;0;0;0;0;0;0;451,45;0;0;0;111,63;37,62;0;205,57;54,36;0;0;0;10,96;0;0
C276804;;;;12;40000;[210000];4565,66;0;162,49;3413,49;0;57,65;202,37;294,76;321,34;0;336,87;32,67;2023,09;95,37;0;87;0;73,16;906,09;60387,74;1536,07;6391,37;0;504,14;0;894,33;0;42,66;0;903,64
C276809;;;;0;10000;[0];29,92;0;0;0;0;231,51;0;0;0;0;0;0;0;0;0;242,44;0;0;0;0;0;0;0;0;0;54,9;0;0;0;0
C276818;;1;;15;60000;[336000];29,49;123839,16;14711,97;29177,66;30929,3;45,63;462,87;0;57,79;0;0;18412,96;0;169540,9;0;3496,8;0;19,03;469,14;0;2628,21;16972,37;5898,05;157,55;200,6;-14,88;0;140,54;0;0
C276821;1;;;3;15000;[127200];181,63;0;12481,31;0;0;630,57;533,2;0;152,99;0;0;33,99;0;0;0;17542,42;0;0;0;0;1167,78;0;0;659,97;0;325,28;0;613,12;0;0
C276823;;;;12;59000;[210000];139596,94;81719,44;299,73;6732,94;5994,8;1380,89;145,11;493,12;1515,53;0;17,17;9070,69;0;104636,89;0;45,7;0;397,33;8657,06;130455,78;3995,1;4770,9;60,88;482,42;0;660,75;0;251,22;0;2295,98
C276831;;;;6;70000;[105000];60,82;0;133625,93;4,69;2232,46;0;1984,36;0;0;0;0;0;0;11,52;0;977,66;0;304,85;0;601,31;185913,36;6403,54;299,38;1872,86;0;7,32;0;49,14;0;0
C276833;;;;20;45000;[350000];4044,94;24390,68;49755,45;8057,42;25417,35;46,86;2541,18;0;48,12;0;0;7120,86;0;40582,86;0;306,12;0;1670,22;0;6497,88;27063;9880,84;3766,47;0;0;73,69;0;471,94;109,56;0
C276835;;;;0;10000;[0];0;0;0;0;0;718,34;0;0;71,98;0;0;0;0;0;0;0;0;0;343,23;0;0;0;0;0;0;52,46;0;0;0;0
C276838;;;;0;1000;[0];69,07;0;0;0;0;824,16;3,29;13,04;0;0;0;0;0;0;0;0;0;0;76,57;0;0;0;0;0;0;0;0;0;0;0
C276846;;;;1;8000;[20000];55,69;0;24,16;336,4;0;0;113,15;0;0,49;0;0;637,94;0;0;0;0;0;0;0;717,65;0;0;0;0;0;157,42;0;0;0;0
C276849;;1;;6;30000;[134400];45,14;0;0;11,89;0;0;13,71;0;0;0;0;0;0;0;0;0;0;0;126,88;14,75;9806,81;0;0;0;0;0;0;0;0;0
C276855;;;;7;19000;[122500];0;0;1416,81;670,41;0;0;215,66;0;57,34;0;0;0;0;0;0;0;0;216,57;0;0;5017,99;2167,31;0;0;0;194,3;0;196,1;0;0
C276886;;;;8;30000;[228000];60865,64;0;0;279,29;0;0;78,23;16,54;21,32;0;0;0;0;23,89;0;0;0;0;9,27;92118,05;0;0;0;136,16;400,31;218,69;0;56,57;0;0
C276888;;;;24;62000;[420000];187838,91;12856,64;15179,78;14468,54;304,81;261,03;5366,14;10113,78;-372,96;0;5467,45;12996,71;721,65;1738,85;0;245,26;0;1826,86;556,22;194017,65;32333,11;0;0;4721,55;336,33;6184,78;126,78;673,35;0;1528,43
C276894;;;;10;25000;[175000];91783,6;15575,1;6499,51;860,5;77,84;0;450,42;1421,08;1272,82;0;83,27;2041,27;916,87;10143,64;0;49,97;0;75,15;0;31653,1;263,15;423,51;0;91,48;0;3572,77;0;262,96;0;108,93
C276899;;;;5;15000;[87500];20477,22;4937,26;0;403,25;1421,39;1641,59;226,55;1463,57;106,11;0;897,72;446,29;0;95,31;0;0;0;0;0;26819,15;0;693,33;0;244,66;20,3;146,35;0;33,03;0;0
C276900;;;;5;10000;[133000];0;0;739,97;0;0;0;112,36;0;0;0;0;0;0;0;0;0;0;0;0;0;1793,4;0;0;0;0;27,45;0;0;0;0
C276923;;1;;1;10000;[22400];76,7;0;1744,02;21302,35;72946,98;246,36;1357,29;0;282,7;0;0;17776,45;0;149,23;0;498,94;0;243,95;0;83,74;511,86;39284,06;2971,11;799,64;0;172,02;0;383,07;0;0
C276934;;;;8;20000;[140000];159343,91;6194,58;3666,66;2202,67;1736,39;620,16;3861,1;6154,02;2287,52;0;334,02;1577,55;488,93;4105,75;0;12,49;0;727,06;759,25;158855,24;1645,57;6471,06;0;1231,04;0;1498,94;0;51,28;9,7;1882,62
C276942;;;;4;35000;[70000];51165,96;3966,15;299,74;328,49;0;1659,78;488,83;5168,89;-28,31;0;3721,32;1294,01;1215,57;23927,24;0;0;0;59,17;5032,06;72733,28;0;0;0;424,63;0;341,66;0;0;5,25;782,83
C276952;;;;1;5000;[17500];0;0;0;0;0;0;0;279,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22,91;0;0;0;0;0;304,15
C276956;;;;8;10000;[140000];4118,06;7723,61;28,65;1539,1;0;7,03;64,29;1278,68;548,39;0;0;5,6;103,93;135,27;0;0;0;12,2;431,77;2220,36;0;382,82;0;8,3;0;24,4;0;373,32;0;0
C276959;;;;0;4000;[0];0;0;552,37;0;0;0;0;0;0;0;0;0;0;0;0;21,81;0;0;0;0;0;0;0;0;0;0;0;12,68;0;0
C276961;1;;;2;8000;[38400];0;0;13038,01;0;0;0;0;0;174,26;0;0;0;0;0;0;16123,2;0;0;0;0;0;0;0;0;0;185,43;0;0;0;0
C276964;;;;4;30000;[70000];2694,38;2589,14;179,85;155,14;0;203,36;280,01;67,93;109,18;0;0;1739,99;0;16009,83;0;0;0;67,67;250,26;21549,52;550,78;5619,34;91,5;348,66;58,88;175,07;0;0;0;0
C276972;;;;9;20000;[157500];57084,85;1369,77;9090,76;1355,47;0;560,39;861,16;752,98;1139,11;0;35,38;16380,32;26,66;76,25;0;1420,1;0;9,17;0;66277,79;1508,54;0;0;4436,93;0;4220,19;0;127,47;0;0
C276976;;;;0;1000;[0];44,12;0;396,8;0;0;45,81;14,57;0;29,77;0;0;0;61,78;0;0;97,36;0;0;0;12,81;0;0;0;0;0;0;0;0;0;0
C276977;;;;2;16000;[35000];6349,33;3088,24;0;249,7;0;0;0;0;53,67;0;0;424,71;0;5413,08;0;0;0;0;0;4309,65;0;0;0;0;0;132,69;0;0;0;0
C276980;1;;;8;24000;[153600];10893,69;0;800,37;0;0;515,23;326,76;0;820,79;0;0;0;1474,21;0;0;8960,42;0;17,57;29,76;9715,13;1191,34;0;0;381,49;0;937,39;0;57,51;0;0
C276988;;1;;23;4000;[515200];3360,33;0;570,6;117,98;0;2,03;106,86;195,78;136,64;0;119,19;159,06;0;0;0;185,37;0;171,13;0;3809,13;393,95;0;0;238,82;0;175,68;0;0;0;148,13
C276993;;;;10;50000;[266000];39,37;6017,4;13776,63;1598,59;12016,7;0;240,31;0;20,09;0;0;0;0;0;0;0;0;67,25;0;54,19;20313,49;0;0;0;0;0;0;42,61;0;0
C277003;;1;;1;7500;[22400];22,27;0;528,51;6581,96;0;2531,18;11,25;0;0;0;0;2878,15;0;89,4;0;0;0;0;0;0;377,02;0;555,73;0;0;0;0;0;0;0
C277009;;;;80;100000;[1.4e+006];62502,15;636,86;22569,64;38906,72;0;980,54;15665,44;393,73;3845,9;0;590,14;61726,28;0;932,32;0;325,18;0;14797,43;1901,74;77695,87;27036,18;0;0;3172;0;2966,05;0;0;0;557,48
C277010;;;;1;200000;[17500];321989,14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;290083,89;0;0;0;0;0;0;0;0;0;0
C277016;1;;;3;8000;[57600];0;0;1098,61;0;0;0;0;0;0;0;0;0;0;0;0;388,41;0;0;0;0;0;0;0;0;0;0;0;9,26;0;0
C277018;1;;;5;34000;[96000];1217,23;0;83339,08;261,99;0;36,09;292,27;0;1605,62;0;0;0;126,07;0;0;89369,79;0;100,14;0;1035,96;6828,44;0;0;137,85;0;1329,85;0;62,33;0;0
C277025;;;;5;8000;[100000];242,79;0;0;0;0;5760,29;47,25;84,85;125,65;0;0;0;0;0;0;0;0;0;3462,87;140,59;72,92;0;0;0;0;42,7;0;0;0;0
C277027;;1;;0;10000;[0];0;0;0;0;0;0;214,69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;291,6;305,35;0;0;0;0;0;0
C277028;;;;0;8000;[0];0;159,67;0;0;0;66,56;8,38;0;0;0;0;1737,4;98,58;1124,35;0;0;0;0;0;0;0;0;0;0;0;27,45;0;0;0;0
C277029;;;;0;40000;[0];7886,93;69503,67;6053,17;5390,41;984,97;173,58;1922,91;122,74;734,67;0;23,44;7581,98;5,8;88812,14;0;24,99;0;426,93;0;7564;0;1960,26;0;2386,15;0;750,76;0,51;160,43;4,83;13,09
C277036;;;;1;180000;[17500];344417,87;26540,33;333,83;1690,57;0;302,67;60,08;5016,14;-2846,41;0;3594,12;542,27;335,73;6682,54;0;4454,68;0;215,12;1050,18;433261,22;6995,31;2629,64;2881,01;349,01;703,94;4431,41;0;0;0;4456,05
C277046;;;;13;10000;[262600];7456,61;0;4718,75;0;0;1342,71;0;0;42,69;0;0;0;30,68;0;0;0;0;0;339,1;37251,64;1264,9;0;0;0;0;663,79;0;0;0;0
C277053;;;;6;10000;[105000];104,2;0;0;519,75;0;0;0;0;0;0;0;1566,3;0;0;0;0;0;0;0;0;0;0;0;0;0;50,37;0;0;0;0
C277054;;;;25;55000;[437500];21742;45509,28;47783,05;5251,48;17968,16;3146,83;263,1;0;321,45;0;0;16041,76;986,14;39881,52;0;185,85;0;250,36;0;15689,19;37284,37;40,27;48409,43;0;38,02;787,75;0;591,85;0;0
C277076;;;;3;12195,92;[63600];0;3617,44;38,43;0;0;0;24,55;0;71,98;0;0;1596,32;0;12816,89;0;0;0;21,18;0;0;0;0;0;0;0;107,97;0;0;0;0
C277081;;;;2;8000;[35000];24861,25;0;0;0;0;0;0;0;2265,38;0;0;0;0;0;0;0;0;0;0;16966,61;0;0;0;0;0;1278,78;0;0;0;0
C277087;;1;;3;8000;[67200];0;1016,37;71,3;5770,09;0;0;0;0;0;0;0;0;0;4636,84;0;0;0;0;0;0;0;0;0;0;0;25,01;0;0;0;0
C277107;;;;1;15000;[17500];264,41;0;0;0;0;28,97;23,38;571,54;0;0;26,74;0;0;0;0;0;0;0;123,04;25483,35;0;0;0;0;0;416,39;0;0;0;0
C277119;1;;;6;31000;[115200];0;0;28453,34;0;0;27,32;925,82;0;7;0;0;1312,88;0;0;0;15834,33;0;0;0;0;247,81;0;0;0;0;24,64;0;13,4;0;0
C277122;;;;5;15000;[87500];111,6;0;0;0;0;0;296,84;524,85;0;0;0;0;0;0;0;0;0;0;0;86,57;0;0;0;0;0;0;0;0;0;50,33
C277124;;;;1;5000;[17500];79,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;182,83;0;0;0;0;0;0;0;0;0;0
C277132;;;;6;40000;[105000];73601,2;28191,18;3574,43;3117,6;438,09;1685,02;753,46;231,03;4736,09;0;448,56;3039,73;601,67;33031,56;0;103,7;0;57,39;3876,99;126289,67;2452,68;111,25;51,39;1270,26;0;12320,06;0;196,41;9,52;988,47
C277133;;;;0;15244,9;[0];0;0;0;0;0;0;302,32;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,7;0;0
C277136;;;;1;5000;[17500];2011,73;0;0;529,87;0;0;117,36;4,58;14,88;0;0;2058,34;0;0;0;0;0;352,09;0;4298,23;0;0;0;267,92;0;208,62;0;38;0;40,87
C277150;;;;1;5000;[17500];12766,07;0;6,93;373,73;0;13,82;94,03;0;0;0;0;0;0;0;0;0;0;57,14;111,26;13199,97;0;0;0;0;0;0;0;0;0;0
C277157;1;;;4;40000;[76800];130,29;48,33;67996,58;447,07;75,77;2894,93;858,89;651,66;462,96;0;0;40,85;43,83;0;0;72237,49;0;1761,19;0;44,6;8924,87;0;0;652,27;0;542,6;0;119,15;0;0
C277164;;;;0;10000;[0];0;0;1021,14;196,14;0;0;479,15;0;-6,22;0;0;511,5;0;55,47;0;0;0;13,01;547,66;13,47;0;0;0;118,45;0;0;0;237,44;0;0
C277178;;1;;2;40000;[44800];820,83;161,91;16153,67;636,39;6697,29;0;68,11;139,38;0;0;30,67;2224,46;353,65;0;0;9375,82;0;7,5;0;575,43;12220,67;18209,45;2744,15;0;0;0;0;0;0;287,92
C277181;;1;;1;8000;[22400];49,47;0;18,42;0,01;4605,96;573,16;127,54;9,95;-6,22;0;8,75;0;16,56;14,76;0;44,04;0;15,01;0;71,08;0;25;1099,15;24,72;0,87;0;0;110,02;0;0
C277186;;;;1;8000;[21200];1406,76;11997,82;594,51;3319,79;2828,78;253,44;1352,9;100,12;243,38;0;225,7;3337,35;89,19;20121,39;0;81,67;0;358,27;518,68;2658,03;660,61;436,28;0;360,25;15,81;250,71;0;250,6;0;185,72
C277194;;1;;0;0;[0];82,39;0;0;0;0;0;20,64;0;0;0;0;0;5,64;0;0;0;0;117,74;0;53,08;0;0;0;26,12;0;0;0;0;0;0
C277196;;;;0;1;[0];8,14;0;0;0;0;0;131,44;123,47;0;0;40,82;0;0;23,5;0;9,97;0;0;0;352,07;0;0;0;151,46;0;0;0;28,69;0;218,86
C277201;1;;;0;8000;[0];0;0;22,74;0;0;0;0;0;0;0;0;0;0;0;0;77,7;0;0;0;167,93;46,16;0;0;0;0;0;0;2,61;0;0
C277206;;;;0;8000;[0];42,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,3;33,49;0;0;0;0;0;0;0;0;0;0
C277213;;;;0;8000;[0];45,71;0;79,27;0;0;0;0;0;0;0;0;0;0;0;0;73,42;0;0;0;42,77;0;0;0;0;0;0;0;0;0;0
C277214;;;;0;8000;[0];48,2;0;0;0;0;0;0;141,37;0;0;46,24;0;0;0;0;0;0;0;0;21,8;0;0;0;0;0;0;0;0;0;100,06
C277218;;;;1;39000;[21200];712,32;87307,85;2850,43;9036,3;1734,12;152,12;1162,79;0;1950,96;0;204,79;8592,72;179,8;84973,68;0;385,32;0;105,13;0;1550,38;627,32;2590,45;0;102,02;0;1765,95;0;623,41;0;138,19
C277219;;1;;2;10000;[44800];42,9;0;141,81;0;0;45,68;52,09;0;0;0;0;165,24;0;93,35;0;565,99;0;0;0;173,89;0;0;0;0;0;0;0;0;0;0
